username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
Jeroener;2016/02/09 18:54;1;0;"DONALD TRUMP A NICE MAN !!!!!!!!!! https://twitter.com/kanyewest/status/697199554807099394 …";;;;"697206930834640896";https://twitter.com/Jeroener/status/697206930834640896
DavidPapp;2016/02/09 18:54;0;0;"[VIDEO] Ted Cruz Says Donald Trump Is Just a Sore Loser http://j.mp/20Jh6nz ";;;;"697206914749489152";https://twitter.com/DavidPapp/status/697206914749489152
jkruzel25;2016/02/09 18:54;2;3;"Donald Trump running on his own name. First candidate to mention FAIR TRADE. Japan killed us in the 80's in the Auto Industry. No one cared";Reno, NV;;;"697206899909898244";https://twitter.com/jkruzel25/status/697206899909898244
SamKlomhaus;2016/02/09 18:54;0;0;"I decided I was a way better high school soccer player than Donald Trump. http://the18.com/news/i-have-something-common-donald-trump-and-i-dont …";;;;"697206896709664769";https://twitter.com/SamKlomhaus/status/697206896709664769
NickPrear;2016/02/09 18:54;0;2;"Mom Surprises Daughter Now add harmony. MonoNeon: WE ARE GOING TO SEE DONALD TRUMP IN PERSON https://youtu.be/yI-bO2J_mF0  via @YouTube";;@YouTube;;"697206895942221825";https://twitter.com/NickPrear/status/697206895942221825
RobZicariShow;2016/02/09 18:54;1;0;"Listen to MEDIA'S DOUBLE STANDARD WITH TRUMP by The Rob Zicari Show "Xtreme Politics" http://tobtr.com/8291281  #DonaldTrump #MSM #tcot";;;#DonaldTrump #MSM #tcot;"697206892943187968";https://twitter.com/RobZicariShow/status/697206892943187968
sokuho_in;2016/02/09 18:54;0;0;"■CNN速報(国際版)：Big lines of supporters trying to get into Donald Trump and Bernie Sanders' campaign HQ's hoping to see a win.";;;;"697206860038836224";https://twitter.com/sokuho_in/status/697206860038836224
EqualityMantra;2016/02/09 18:53;0;0;"Donald Trump Says Taking Away Marriage Equality Will "Unify Our Country" http://fb.me/4eHtYRQMN ";;;;"697206837460926464";https://twitter.com/EqualityMantra/status/697206837460926464
hash_said;2016/02/09 18:53;3;0;"Waiting for @kanyewest to endorse Donald Trump at this point.";;@kanyewest;;"697206798290448384";https://twitter.com/hash_said/status/697206798290448384
slayfrantaslay;2016/02/09 18:53;0;5;"@SawyerHartman *cough * Donald Trump";;@SawyerHartman;;"697206792170840065";https://twitter.com/slayfrantaslay/status/697206792170840065
BobG231;2016/02/09 18:53;3;8;"Align with Donald Trump on this key issue. https://twitter.com/thehill/status/697204607982948353 …";;;;"697206783148957696";https://twitter.com/BobG231/status/697206783148957696
sNaPpPerHeaD;2016/02/09 18:53;1;2;"Serial liar #TedCruz said even today "A vote for #DonaldTrump is a vote for #Obamacare" #CruzFraud #TCOT #NHPrimaryhttps://twitter.com/realDonaldTrump/status/697182075045179392 …";;;#TedCruz #DonaldTrump #Obamacare #CruzFraud #TCOT #NHPrimaryhttps;"697206759899996160";https://twitter.com/sNaPpPerHeaD/status/697206759899996160
gabbyferraraaa;2016/02/09 18:53;0;1;"@JoshuaDtown Donald trump style wins pic.twitter.com/awRYXHq6np";;@JoshuaDtown;;"697206727566106624";https://twitter.com/gabbyferraraaa/status/697206727566106624
yorkregionnews;2016/02/09 18:53;1;1;"Donald Trump, Bernie Sanders look to leave New Hampshire as winners: MANCHESTER, N.H. — Donald Trump and Bernie… http://m.tbnn.it/KSfJKC ";;;;"697206676034711552";https://twitter.com/yorkregionnews/status/697206676034711552
worldnewsshare;2016/02/09 18:53;0;0;"Photo: GOP presidential candidate Donald Trump's daughter, Ivanka, posts picture of family eating dinner at... http://fb.me/2vsqySD9c ";;;;"697206657508642816";https://twitter.com/worldnewsshare/status/697206657508642816
pakistanwire;2016/02/09 18:53;0;0;"New Hampshire primary: Donald Trump and Bernie Sanders lead as final voting underway - live -… http://dlvr.it/KSfHgG ";;;;"697206650134880256";https://twitter.com/pakistanwire/status/697206650134880256
A1MyLove4ever;2016/02/09 18:53;0;0;"I wonder if the #NHPrimary will go the same way as the #OhioPrimary did for Donald Trump, who for me, every time he speaks, my blood boils";Galashiels, Scotland;;#NHPrimary #OhioPrimary;"697206648440549376";https://twitter.com/A1MyLove4ever/status/697206648440549376
eveningstorm1;2016/02/09 18:53;0;3;"@BretBaier @google @realDonaldTrump WHY DOESN'T DONALD TRUMP GO AWAY? pic.twitter.com/lCC8SDzrdO";;@BretBaier @google @realDonaldTrump;;"697206645148028928";https://twitter.com/eveningstorm1/status/697206645148028928
catherinejtouch;2016/02/09 18:53;0;0;"DONALD TRUMP WON OVER JEB BUSH IS LEADING PARTY CANDIDATE I VOTED FOR DCT. It's no expiration date.";;;;"697206614751899649";https://twitter.com/catherinejtouch/status/697206614751899649
Kruisin4CRUZ;2016/02/09 18:53;2;1;"#NHPrimary #BankruptsyBoy #Donaldtrump is a snake & has never bettered himself 4 the office #CruzCrew #TedCruzhttps://twitter.com/SMolloyDVM/status/697172389654876161 …";;;#NHPrimary #BankruptsyBoy #Donaldtrump #CruzCrew #TedCruzhttps;"697206609290858496";https://twitter.com/Kruisin4CRUZ/status/697206609290858496
politico;2016/02/09 18:53;26;30;"Ted Cruz wasn't happy with Donald Trump calling him the P-word http://politi.co/1RnwsZ4 pic.twitter.com/vWnTjjo9lx";;;;"697206607441227776";https://twitter.com/politico/status/697206607441227776
TheTruth24UK;2016/02/09 18:52;0;0;"#MostRead Donald Trump for President? Banning Muslims, Bombing ISIS and other key policies.. http://uk.r24.co/p/14999 ";;;#MostRead;"697206587119661056";https://twitter.com/TheTruth24UK/status/697206587119661056
nickgoff79;2016/02/09 18:52;5;0;"http://www.nytimes.com/2002/10/23/nyregion/trump-draws-criticism-for-ad-he-ran-after-jogger-attack.html … Here's a piece about Donald Trump taking an advert in the NY Times in 1989 calling for the death penalty for 5 kids.";;;;"697206573773537280";https://twitter.com/nickgoff79/status/697206573773537280
satirist_indian;2016/02/09 18:52;0;0;"How Donald Trump helped save New York City http://ln.is/nypost.com/2016/02/0/iWZhi … via @nypost";;@nypost;;"697206567100379137";https://twitter.com/satirist_indian/status/697206567100379137
The_KMich;2016/02/09 18:52;0;0;"Now my masochistic tendencies take over and I go watch as, for some reason, Donald Trump wins a presidential primary";;;;"697206492399689728";https://twitter.com/The_KMich/status/697206492399689728
dmitch211;2016/02/09 18:52;1;1;"Donald trump would make a fantastic president";;;;"697206475681361920";https://twitter.com/dmitch211/status/697206475681361920
jerrysremodeli1;2016/02/09 18:52;16;9;"Get on your gocart and go Vote For Donald Trump New Hampshire pic.twitter.com/HtVFM3oQzd";Kansas, USA;;;"697206456538378240";https://twitter.com/jerrysremodeli1/status/697206456538378240
jerrysremodeli1;2016/02/09 18:52;8;3;"Donald Trump for President pic.twitter.com/v2yKJnFUFX";;;;"697206446094548992";https://twitter.com/jerrysremodeli1/status/697206446094548992
BretBaier;2016/02/09 18:52;8;18;"Top trending @google questions for @realDonaldTrump #DonaldTrump #NHPrimarypic.twitter.com/GDZAYNPgPr";;@google @realDonaldTrump;#DonaldTrump #NHPrimarypic;"697206423122526208";https://twitter.com/BretBaier/status/697206423122526208
Jarlath;2016/02/09 18:52;3;12;"You know the way Donald Trump was at one time just a man on a game show who we all kinda laughed at? Yeah, he never saw himself like that.";;;;"697206386372038657";https://twitter.com/Jarlath/status/697206386372038657
rutilofilo4ever;2016/02/09 18:52;1;2;"Bueno pues ahora toca esperar a 2023 o a que Donald Trump gane las elecciones.";;;;"697206375596871681";https://twitter.com/rutilofilo4ever/status/697206375596871681
jerrysremodeli1;2016/02/09 18:52;20;11;"America there coming for your jobs your money and possibly your life help stop this Vote for Donald Trump pic.twitter.com/nNUokat9xd";Kansas, USA;;;"697206363185766400";https://twitter.com/jerrysremodeli1/status/697206363185766400
lynney62;2016/02/09 18:52;5;5;"Donald Trump: More Criminal Illegal Aliens at Large in U.S. than Population of any City in New Hampshire http://www.breitbart.com/immigration/2016/02/08/donald-trump-more-criminal-illegal-aliens-at-large-in-u-s-than-population-of-any-city-in-new-hampshire/ …";;;;"697206360413372417";https://twitter.com/lynney62/status/697206360413372417
ira;2016/02/09 18:52;1;8;"This isn’t support for him... But seeing as how they didn’t get rid of racist Donald Trump, VERY interested to see if Kanye is still on SNL.";;;;"697206359977144322";https://twitter.com/ira/status/697206359977144322
michaelallenmar;2016/02/09 18:51;5;3;"Donald Trump Utilizes Racism, but Hillary Clinton Used Similar Tactics Against Obama in 2008 http://www.huffingtonpost.com/h-a-goodman/donald-trump-utilizes-racism-_b_8756816.html … … via @HuffPostPol";;@HuffPostPol;;"697206286887178240";https://twitter.com/michaelallenmar/status/697206286887178240
Jaymason27;2016/02/09 18:51;0;1;"damn Donald Trump's daughter is pregnant that poor little nugget is gonna have the shittiest grandpa";;;;"697206256336031744";https://twitter.com/Jaymason27/status/697206256336031744
Hoosier2012;2016/02/09 18:51;0;1;"Someone wants Donald Trump elected...or needs to tell our government to get their ass in gear...or both. https://twitter.com/BNONews/status/697205930161762306 …";;;;"697206236341739520";https://twitter.com/Hoosier2012/status/697206236341739520
Rafihamid1;2016/02/09 18:51;0;0;"TIME : Donald Trump’s son compares waterboarding to frat parties http://ti.me/1nVlfmt  … http://twitter.com/TIME/status/697166862380109824 …)pic.twitter.com/KmOhIwbWCj";;;;"697206236291289089";https://twitter.com/Rafihamid1/status/697206236291289089
ForecasterEnten;2016/02/09 18:51;42;56;"Before we get too far ahead of ourselves: Donald Trump and Bernie Sanders are likely to win primaries tonight. Amazing.";;;;"697206215575801861";https://twitter.com/ForecasterEnten/status/697206215575801861
Rafihamid1;2016/02/09 18:51;0;0;"TIME : Donald Trump repeats offensive name for Ted Cruz at rally http://ti.me/20T9dZt  … http://twitter.com/TIME/status/697159295541055488 …)pic.twitter.com/OclyrX4sMd";;;;"697206214673985536";https://twitter.com/Rafihamid1/status/697206214673985536
CryBabyPrize;2016/02/09 18:51;1;0;"Donald Trump was criticizing Ted Cruz for having insufficiently endorsed torture http://interc.pt/1O1Nplf  by @mazmhussain @froomkin";;@mazmhussain @froomkin;;"697206185854763008";https://twitter.com/CryBabyPrize/status/697206185854763008
ItsArianaC;2016/02/09 18:51;0;2;"@lifeaseva if you look like a garbage can then I must be Donald Trump pic.twitter.com/t2ae68o5k9";;@lifeaseva;;"697206170969358337";https://twitter.com/ItsArianaC/status/697206170969358337
lenacatherinep;2016/02/09 18:51;3;6;"very sad to hear about donald trump. nothing happened to him i’m just sad to hear about him";Grayslake, IL;;;"697206138991816704";https://twitter.com/lenacatherinep/status/697206138991816704
InvestingLatest;2016/02/09 18:51;0;0;"FT: A brash Donald Trump tested: New Hampshire primary vote on contrasts. http://on.ft.com/1nWmVwe pic.twitter.com/cG7Ylo9blR";;;;"697206111905148928";https://twitter.com/InvestingLatest/status/697206111905148928
palestininianpr;2016/02/09 18:51;3;1;"Donald Trump will look Syrian kids in the face and say 'go home' http://ln.is/independent.co.uk/y38RD …";;;;"697206091076206592";https://twitter.com/palestininianpr/status/697206091076206592
auldcove;2016/02/09 18:50;0;0;"Donald Trump plays word association! It's 'evil' for Hillary Clinton http://dailym.ai/1Q6Xk0c  via @MailOnline";;@MailOnline;;"697206045274468352";https://twitter.com/auldcove/status/697206045274468352
car8lover;2016/02/09 18:50;0;0;"Ford's Mexico expansion plans amount to a nice gift for Trump: So as it turns out, Donald Trump was right about… http://dlvr.it/KSfG1L ";;;;"697205993688555520";https://twitter.com/car8lover/status/697205993688555520
UKDogNews;2016/02/09 18:50;0;0;"Donald Trump Clearly Doesn't Understand How Dogs Work - Huffington Post http://dlvr.it/KSfFmG  - #UK #dog";;;#UK #dog;"697205983869665280";https://twitter.com/UKDogNews/status/697205983869665280
PortalZigZag;2016/02/09 18:50;0;0;"Canadians Don't Like Donald Trump, Poll Reveals http://ift.tt/1PAKotW ";;;;"697205958053883904";https://twitter.com/PortalZigZag/status/697205958053883904
pinnie99;2016/02/09 18:50;0;0;"Jebbie always has 2 feet in his stupid mouth>/"Here's Why Donald Trump SaysJeb Is 'Very Embarrassed' By Attacks" at http://ln.is/www.hannity.com/arti/umqed …";;;;"697205926835720192";https://twitter.com/pinnie99/status/697205926835720192
kengfeed;2016/02/09 18:50;0;0;"New Hampshire latest: Early exit polls: Donald Trump and Bernie Sanders were expected to win New Hampshire, bu... http://cnb.cx/1RnwqjZ ";;;;"697205910750400512";https://twitter.com/kengfeed/status/697205910750400512
LPCarlson2;2016/02/09 18:50;1;1;"Trump Supporter Video - EP 3 "The Real Donald Trump Story" L I S T E N!! http://youtu.be/LmWOOrwDUug ";;;;"697205908015816708";https://twitter.com/LPCarlson2/status/697205908015816708
BoutiqaShop;2016/02/09 18:50;0;0;"New Hampshire Primary 2016 Polls: Donald Trump And Bernie Sanders Could Be Headed To Big Wins, Final Polls Show #fa…pic.twitter.com/j35dNhqA1k";;;#fa;"697205895978160128";https://twitter.com/BoutiqaShop/status/697205895978160128
OfficialKB707;2016/02/09 18:50;0;0;"Which Revolutionary Will America Choose — Bernie Sanders, Donald Trump or Ted Cruz http://www.glennbeck.com/2016/02/09/which-revolutionary-will-america-choose-bernie-sanders-donald-trump-or-ted-cruz/?utm_source=twitter&utm_medium=story&utm_campaign=ShareButtons …";;;;"697205894254170112";https://twitter.com/OfficialKB707/status/697205894254170112
film_vulture;2016/02/09 18:50;0;1;"@andymannion77 Kanye is determined to be the Donald Trump of hip hop.";;@andymannion77;;"697205893159632896";https://twitter.com/film_vulture/status/697205893159632896
Maddi_Smith007;2016/02/09 18:50;0;1;"Kanye West and Donald Trump are so incredibly similar, the two are so bold, you can't dislike them";;;;"697205877712011264";https://twitter.com/Maddi_Smith007/status/697205877712011264
rolandsmartin;2016/02/09 18:50;5;10;"#NewsOneNow Audio Podcast: Where Is #DonaldTrump's Jobs Plan? Where Is #DanielHoltzclaw? http://ow.ly/Y8SVK  http://fb.me/29oZvDDzu ";;;#NewsOneNow #DonaldTrump #DanielHoltzclaw;"697205875254128640";https://twitter.com/rolandsmartin/status/697205875254128640
Rebeccamcle0d;2016/02/09 18:50;0;0;"Gd luck America if Donald trump becomes president xx there's a spare bed in my gaff if anyone needs it x";;;;"697205869767950336";https://twitter.com/Rebeccamcle0d/status/697205869767950336
charlottor;2016/02/09 18:50;0;1;"@Willtholmes I kind of love Donald Trump because he's so completely ridiculous but then I remember he's running to run the world & Is not";;@Willtholmes;;"697205866798383104";https://twitter.com/charlottor/status/697205866798383104
dna;2016/02/09 18:50;4;1;"Donald Trump, Bernie Sanders look to emerge from New Hampshire with wins http://dnai.in/daQX ";;;;"697205864562716672";https://twitter.com/dna/status/697205864562716672
kevwodonnell;2016/02/09 18:50;0;1;"My favourite ever response to a Donald Trump tweet. #NewHampshirePrimarypic.twitter.com/PVT8AoYDlP";Glasgow, Scotland;;#NewHampshirePrimarypic;"697205855343788034";https://twitter.com/kevwodonnell/status/697205855343788034
thechefbones;2016/02/09 18:49;0;1;"@Urza83 @realDonaldTrump can we just wall in Donald trump like the cask of Amontillado.";;@Urza83 @realDonaldTrump;;"697205775685566464";https://twitter.com/thechefbones/status/697205775685566464
Sweenn;2016/02/09 18:49;1;0;"Dont get all political im just saying at the very least my man Donald Trump is fucking hilarious";;;;"697205755972169729";https://twitter.com/Sweenn/status/697205755972169729
bermanmatt;2016/02/09 18:49;0;1;"What could more in line with the ridiculous excess of Fat Tuesday than for a state to make Donald Trump its top choice for President.";;;;"697205740717654016";https://twitter.com/bermanmatt/status/697205740717654016
NicTaggart;2016/02/09 18:49;0;1;"@animaggus There was a beautiful example of the form from Donald Trump Jr. yesterday pic.twitter.com/88x2NjD6I2";;@animaggus;;"697205715178536965";https://twitter.com/NicTaggart/status/697205715178536965
newspaperfeeds;2016/02/09 18:49;1;2;"New Hampshire primary: Donald Trump and Bernie Sanders lead as final voting underway - live http://goo.gl/fb/r2vVQl ";;;;"697205694991360001";https://twitter.com/newspaperfeeds/status/697205694991360001
710KNUS;2016/02/09 18:49;0;0;"RT @HughHewitt Ivanka Trump On The 2016 Race And Donald Trump As A Father: The audio: 02-09hhs-i... http://bit.ly/1Wcn0qH  #TCOT #HEWITT";;@HughHewitt;#TCOT #HEWITT;"697205692592041984";https://twitter.com/710KNUS/status/697205692592041984
robin11dr;2016/02/09 18:49;0;0;"Given to Rubio & Cruz the RNC isn't going quietly into that good night so neither should we, Vote Donald Trump MAGA https://twitter.com/mitchellvii/status/697197241761665026 …";;;;"697205639806902272";https://twitter.com/robin11dr/status/697205639806902272
tweeting4trump;2016/02/09 18:49;0;0;"Full Speech: Donald Trump They NEVER turn the cameras #WakeUpAmericahttp://youtu.be/c-UyrR2I9l0 ";;;#WakeUpAmericahttp;"697205624954884097";https://twitter.com/tweeting4trump/status/697205624954884097
WCVB;2016/02/09 18:49;0;1;"Video: Donald Trump: Polls don't matter if people don't vote http://bit.ly/1mqVauK ";;;;"697205624346546176";https://twitter.com/WCVB/status/697205624346546176
RWingFighter;2016/02/09 18:49;0;0;"Is Donald Trump Pat Buchanan with a Casino? And Other Questions About Tonight's Results http://dlvr.it/KSfCQ4 ";;;;"697205589647044608";https://twitter.com/RWingFighter/status/697205589647044608
rc1963;2016/02/09 18:48;0;0;"Trump is importing workers Exclusive: Donald Trump's companies have sought visas to import at least 1,100 workers http://www.reuters.com/article/us-usa-election-trump-exclusive-idUSKCN0Q62RQ20150802 …";;;;"697205544722034688";https://twitter.com/rc1963/status/697205544722034688
skeeteronmy;2016/02/09 18:48;0;2;"How does a Ron Paul fan go to being a Donald Trump fan? Vote #Trump #NHPrimarypic.twitter.com/DkIymljJR2";;;#Trump #NHPrimarypic;"697205536182259712";https://twitter.com/skeeteronmy/status/697205536182259712
DTNCanada;2016/02/09 18:48;0;1;"DTN Canada: Donald Trump, Bernie Sanders look to leave New Hampshire as winners: MANCHESTER, N.H. — Donald Tru... http://on.thestar.com/1WcmQ2L ";;;;"697205458642169856";https://twitter.com/DTNCanada/status/697205458642169856
SamauriBoyd;2016/02/09 18:48;0;1;"Can't believe people are actually voting for Donald Trump.";;;;"697205442238398464";https://twitter.com/SamauriBoyd/status/697205442238398464
cparish7News;2016/02/09 18:48;1;0;"If Donald Trump loses tonight, I just want you all to know that I have officially called "TRUMP TRUMPED" as a headline. So BACK OFF.";;;;"697205438639706112";https://twitter.com/cparish7News/status/697205438639706112
David360NC;2016/02/09 18:48;12;8;""THE REAL DONALD TRUMP" - The Character Examination By Peers https://youtu.be/jmZ5y19Dc6k  #NHGOP #NH #SCGOP #NCGOP #NRApic.twitter.com/9YGX5d1lrU";North Carolina, USA;;#NHGOP #NH #SCGOP #NCGOP #NRApic;"697205431563849730";https://twitter.com/David360NC/status/697205431563849730
